00AA,London
00AB,Barking & Dagenham
00AC,Barnet
00AD,Bexley
00AE,Brent
00AF,Bromley
00AG,Camden
00AH,Croydon
00AJ,Ealing
00AK,Enfield
00AL,Greenwich
00AM,Hackney
00AN,Hammersmith & Fulham
00AP,Haringey
00AQ,Harrow
00AR,Havering
00AS,Hillingdon
00AT,Hounslow
00AU,Islington
00AW,Kensington & Chelsea
00AX,Kingston Upon Thames
00AY,Lambeth
00AZ,Lewisham
00BA,Merton
00BB,Newham
00BL,Bolton
00BM,Bury
00BN,Manchester
00BX,Knowsley
00BY,Liverpool
00CC,Barnsley
00CE,Doncaster
00CH,Gateshead
00CJ,Newcastle Upon Tyne
00CN,Birmingham
00CQ,Coventry
00CR,Dudley
00CX,Bradford
00CY,Calderdale
00CZ,Kirklees
00DA,Leeds
00EB,Hartlepool
00EC,Middlesbrough
00EH,Darlington
00EJ,County Durham
00EQ,Cheshire East
00ET,Halton
00EW,Cheshire West & Chester
00EX,Blackburn with Darwen
00EY,Blackpool
00FA,Kingston Upon Hull
00FB,East Riding of Yorkshire
00FC,North East Lincolnshire
00FK,Derby
00FN,Leicester
00GA,Herefordshire
00HA,Bath & North East Somerset
00HB,Bristol
00HE,Cornwall
00HF,Isles of Scilly
00HN,Bournemouth
00KA,Luton
00KB,Bedford
00KC,Central Bedfordshire
00LC,Medway
00MA,Bracknell Forest
00MG,Milton Keynes
00ML,Brighton & Hove
00MW,Isle of Wight
00NA,Isle of Anglesey
00NC,Gwynedd
00NE,Conwy
00NG,Denbighshire
00NJ,Flintshire
00NQ,Ceredigion
00NU,Carmarthenshire
00NX,Abertawe
00NZ,Castell Nedd Port Talbot
00PB,Bridgend
00PD,Bro Morgannwg
00PH,Merthyr Tydfil
00PK,Caerffili
00PL,Blaenau Gwent
00PP,Monmouthshire
00PR,Casnewydd
00PT,Caerdydd
00QA,Aberdeen
00QB,Aberdeenshire
00QC,Angus
00QD,Argyll & Bute
00QF,Clackmannanshire
00QH,Dumfries & Galloway
00QJ,Dundee
00QK,East Ayrshire
00QL,East Dunbartonshire
00QM,East Lothian
00QN,East Renfrewshire
00QP,Edinburgh
00QQ,Falkirk
00QR,Fife
00QS,Glasgow
00QT,Highland
00QU,Inverclyde
00QW,Midlothian
00QX,Moray
00QY,North Ayrshire
00QZ,North Lanarkshire
00RJ,Na H Eileanan An Iar
11UB,Aylesbury Vale
11UC,Chiltern
12UB,Cambridge
12UC,East Cambridgeshire
12UD,Fenland
12UE,Huntingdonshire
16UB,Allerdale
16UC,Barrow in Furness
16UD,Carlisle
16UE,Copeland
16UF,Eden
17UB,Amber Valley
17UC,Bolsover
17UD,Chesterfield
17UF,Derbyshire Dales
17UG,Erewash
17UH,High Peak
17UJ,North East Derbyshire
18UB,East Devon
18UC,Exeter
18UD,Mid Devon
18UE,North Devon
19UC,Christchurch
19UD,East Dorset
19UE,North Dorset
21UC,Eastbourne
21UD,Hastings
21UF,Lewes
22UB,Basildon
22UC,Braintree
22UD,Brentwood
22UE,Castle Point
22UF,Chelmsford
22UG,Colchester
22UH,Epping Forest
22UJ,Harlow
22UK,Maldon
23UB,Cheltenham
23UC,Cotswold
23UD,Forest of Dean
23UE,Gloucester
24UB,Basingstoke & Deane
24UC,East Hampshire
24UD,Eastleigh
24UE,Fareham
24UF,Gosport
24UG,Hart
24UH,Havant
24UJ,New Forest
26UB,Broxbourne
26UC,Dacorum
26UD,East Hertfordshire
26UE,Hertsmere
26UF,North Hertfordshire
29UB,Ashford
29UC,Canterbury
29UD,Dartford
29UE,Dover
29UG,Gravesham
29UH,Maidstone
30UD,Burnley
30UE,Chorley
30UF,Fylde
30UG,Hyndburn
30UH,Lancaster
31UB,Blaby
31UC,Charnwood
31UD,Harborough
31UE,Hinckley & Bosworth
31UG,Melton
32UB,Boston
32UC,East Lindsey
32UD,Lincoln
32UE,North Kesteven
33UB,Breckland
33UC,Broadland
33UD,Great Yarmouth
33UE,Kings Lynn & West Norfolk
34UB,Corby
34UC,Daventry
34UD,East Northamptonshire
34UE,Kettering
36UB,Craven
36UC,Hambleton
36UD,Harrogate
37UB,Ashfield
37UC,Bassetlaw
37UD,Broxtowe
37UE,Gedling
37UF,Mansfield
37UG,Newark & Sherwood
38UB,Cherwell
40UB,Mendip
41UB,Cannock Chase
41UC,East Staffordshire
41UD,Lichfield
41UE,Newcastle Under Lyme
42UB,Babergh
42UC,Forest Heath
42UD,Ipswich
42UE,Mid Suffolk
43UB,Elmbridge
43UC,Epsom & Ewell
43UD,Guildford
43UE,Mole Valley
45UB,Adur
45UC,Arun
45UD,Chichester
45UE,Crawley
45UF,Horsham
45UG,Mid Sussex
47UB,Bromsgrove
47UC,Malvern Hills